snark_order,snark_class_index,snark_graph6,operation,deleted_vertex,deleted_edge_after_vertex_deletion,subgraph_graph6,node_count,edge_count,degree2_count,girth,census_match_indices
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,0,,P???C@_E?`I_h?BOCWCS?OC?,17,24,3,5,[227]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,1,,P??C?@_EC`I_H?BOCW?S?oC?,17,24,3,5,[149]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,2,,P??CA?_EC`A_X?BOCWAS?_C?,17,24,3,5,[108]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex_then_edge,3,"[5, 10]",P??CA?_CC`E_P?BO?WAS?gC?,17,23,5,5,[196]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,4,,P??CA?oAC@C_T?BOAWAS?gC?,17,24,3,5,[108]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex_then_edge,5,"[3, 9]",P??CA?_ACPD_T?@OAWAC?gC?,17,23,5,5,[196]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex_then_edge,6,"[0, 7]",P???A?oBCPD?S?@OAWAK?gC?,17,23,5,5,[196]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex_then_edge,7,"[6, 12]",P???A?oBCPD?S_@oAGAG?gC?,17,23,5,5,[196]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,8,,P???C?oBCPDOS_@_AGAI?gC?,17,24,3,5,[149]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,9,,P???C@?BCODOS_@gAKAI?gC?,17,24,3,5,[227]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,10,,P???C@?KCOdOS_@gAKAI?g??,17,24,3,5,[227]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,11,,P???C@?K?WDOS_@gAKAI?gA?,17,24,3,5,[108]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,12,,P???C@?K?WPAS_@gAKAI?gA?,17,24,3,5,[227]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,13,,P???C@?K?WPAI_@gAKAI?gA?,17,24,3,5,[326]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,14,,P???C@?K?WPAI_S_AKAI?gA?,17,24,3,5,[326]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,15,,P???C@?K?WPAI_S_?sAI?gA?,17,24,3,5,[326]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,16,,P???C@?K?WPAI_S_?s?b?gA?,17,24,3,5,[326]
18,1,Q???C@?K?WPAI_S_?s?b?POA_G?,delete_vertex,17,,P???C@?K?WPAI_S_?s?b?PO?,17,24,3,5,[108]
18,2,Q??CA?_CCOH_IODO?q?d?_K@_G?,delete_vertex_then_edge,0,"[7, 13]",P??CA?_CCoIOI?BGCg?B?oC?,17,23,5,5,[196]
18,2,Q??CA?_CCOH_IODO?q?d?_K@_G?,delete_vertex,1,,P?A?A?_c?oIOI_BGCgCB?OC?,17,24,3,5,[324]
18,2,Q??CA?_CCOH_IODO?q?d?_K@_G?,delete_vertex_then_edge,2,"[5, 14]",P?AA??_cAoAOI_@GCgCB?OC?,17,23,5,5,[196]
18,2,Q??CA?_CCOH_IODO?q?d?_K@_G?,delete_vertex,3,,P?AA@??cAoEOA_BG?gCB?WC?,17,24,3,5,[329]
18,2,Q??CA?_CCOH_IODO?q?d?_K@_G?,delete_vertex,4,,P?AA@?O_AOCOE_BGAgCB?WC?,17,24,3,5,[327]
18,2,Q??CA?_CCOH_IODO?q?d?_K@_G?,delete_vertex_then_edge,5,"[2, 8]",P?AA??OaAODOC_@GAgCB?WC?,17,23,5,5,[195]
18,2,Q??CA?_CCOH_IODO?q?d?_K@_G?,delete_vertex,6,,P??A@?OaAWDOD_@GAGCB?WC?,17,24,3,5,[327]
18,2,Q??CA?_CCOH_IODO?q?d?_K@_G?,delete_vertex,7,,P??C@?OaAWD?D?@gAWCB?WC?,17,24,3,5,[329]
